"","GROUP","ONTOLOGY","UP_DOWN","ONT_DESCRIPTION","Disease","EA_VALUE","GROUP_1","GROUP_2","sample","ANCESTORS","first_ancestor","first_ancestor_name"
"2937","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006298","UP","biological_process","EC",0.00010667305223134,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:0006281, GO:1901360, GO:0008152, GO:0044238, GO:0006974, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006950, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051716, GO:0033554, GO:0034641, GO:0071704, GO:0050896","GO:0008152","metabolic process"
"2938","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006302","DOWN","biological_process","EC",0.00582242379046393,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:0006281, GO:1901360, GO:0008152, GO:0006259, GO:0006974, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0006950, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0051716, GO:0033554, GO:0034641, GO:0071704, GO:0050896","GO:0008152","metabolic process"
"2939","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006310","UP","biological_process","EC",0.000687819414505817,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0008152, GO:0006259, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2940","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006400","DOWN","biological_process","EC",5.31781119139652e-10,"EC.debut","EC.6.meses","FECAL","GO:0034470, GO:1901360, GO:0009451, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0016070, GO:0034641, GO:0141188, GO:0090304, GO:0008033, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0006396, GO:0044249, GO:0006139, GO:0043412, GO:0009987, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2941","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006419","DOWN","biological_process","EC",0.00444609693128722,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:0006520, GO:1901564, GO:0009059, GO:0009058, GO:1901566, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0044249, GO:0043039, GO:0043038, GO:0006139, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2942","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006424","DOWN","biological_process","EC",0.000299372092140486,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:1901564, GO:0006520, GO:0009059, GO:0009058, GO:1901566, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0006139, GO:0043038, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2943","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006428","DOWN","biological_process","EC",0.000466552436209966,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:1901564, GO:0006520, GO:0009059, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0006139, GO:0043038, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2944","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006428","UP","biological_process","EC",0.000279002418259015,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:1901564, GO:0006520, GO:0009059, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0006139, GO:0043038, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2945","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006429","DOWN","biological_process","EC",0.00136169717147423,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:1901564, GO:0006520, GO:0009059, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0006139, GO:0043038, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2946","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006429","UP","biological_process","EC",0.0052608171163947,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:1901564, GO:0006520, GO:0009059, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0006139, GO:0043038, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2947","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006438","DOWN","biological_process","EC",0.00317570443276861,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:1901360, GO:0006520, GO:1901564, GO:0009059, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0006418, GO:0016070, GO:0034641, GO:0090304, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0044249, GO:0043039, GO:0043038, GO:0006139, GO:0009987, GO:0006412, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
"2948","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006508","UP","biological_process","EC",0.000572118792070809,"EC.debut","EC.6.meses","FECAL","GO:0043170, GO:0019538, GO:0006807, GO:0008152, GO:1901564, GO:0044238, GO:0071704","GO:0008152","metabolic process"
"2949","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006515","UP","biological_process","EC",0.000168151898998337,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:0009057, GO:0009056, GO:0030163, GO:0008152, GO:1901565, GO:1901575, GO:1901564, GO:0044238, GO:0043170, GO:0006807, GO:0006508, GO:0051603, GO:0071704","GO:0008152","metabolic process"
"2950","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006537","DOWN","biological_process","EC",0.00140940288845812,"EC.debut","EC.6.meses","FECAL","GO:0006082, GO:0043648, GO:0170033, GO:0170034, GO:1901564, GO:0006520, GO:1901566, GO:0009058, GO:0170039, GO:0044238, GO:0044237, GO:0170038, GO:0044281, GO:0044283, GO:0006536, GO:0016053, GO:0009064, GO:0009084, GO:0008152, GO:1901576, GO:0043650, GO:0008652, GO:0044249, GO:0009987, GO:0043436, GO:0046394, GO:1901605, GO:1901607, GO:0006807, GO:0019752, GO:0071704","GO:0008152","metabolic process"
"2951","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006537","UP","biological_process","EC",1.02527156656487e-07,"EC.debut","EC.6.meses","FECAL","GO:0006082, GO:0043648, GO:0170033, GO:0170034, GO:1901564, GO:0006520, GO:1901566, GO:0009058, GO:0170039, GO:0044238, GO:0044237, GO:0170038, GO:0044281, GO:0044283, GO:0006536, GO:0016053, GO:0009064, GO:0009084, GO:0008152, GO:1901576, GO:0043650, GO:0008652, GO:0044249, GO:0009987, GO:0043436, GO:0046394, GO:1901605, GO:1901607, GO:0006807, GO:0019752, GO:0071704","GO:0008152","metabolic process"
"2952","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006541","DOWN","biological_process","EC",2.0274257228014e-09,"EC.debut","EC.6.meses","FECAL","GO:0006082, GO:0009064, GO:0170033, GO:0008152, GO:0006520, GO:1901564, GO:0044238, GO:0170039, GO:0044237, GO:0009987, GO:0043436, GO:0044281, GO:1901605, GO:0006807, GO:0019752, GO:0071704","GO:0008152","metabolic process"
"2953","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006541","UP","biological_process","EC",0.00178737042172201,"EC.debut","EC.6.meses","FECAL","GO:0006082, GO:0009064, GO:0170033, GO:0008152, GO:0006520, GO:1901564, GO:0044238, GO:0170039, GO:0044237, GO:0009987, GO:0043436, GO:0044281, GO:1901605, GO:0006807, GO:0019752, GO:0071704","GO:0008152","metabolic process"
